,uid,timestamp,clock,sender,type,item,quantity,status,init_time,acked_time,received_time
110,3d784a56-3278-4984-bd9c-4a80ba58264a,2026-04-22 04:44:27.551349,"{0: 563, 1: 290, 2: 820, 3: 291, 4: 126, 5: 54}",1,RESTOCK,BOAR,20,RECIEVED,,,
111,70fba8cf-50a3-4ae6-8a33-ad39eecae74f,2026-04-22 04:44:27.553390,"{0: 565, 1: 291, 2: 823, 3: 292, 4: 128, 5: 54}",1,RESTOCK,BOAR,20,RECIEVED,,,
112,ccd50dc5-f798-45a6-87e9-44242f054d05,2026-04-22 04:44:27.555459,"{0: 569, 1: 292, 2: 826, 3: 293, 4: 130, 5: 54}",1,RESTOCK,FISH,20,RECIEVED,,,
113,f0248a6b-5571-4e3e-83ad-ee6edd2073c6,2026-04-22 04:44:27.557492,"{0: 569, 1: 293, 2: 829, 3: 295, 4: 132, 5: 54}",3,RESTOCK,FISH,20,RECIEVED,,,
114,65081c65-02c2-46c4-9652-84af7a19b113,2026-04-22 04:44:27.559494,"{0: 563, 1: 290, 2: 821, 3: 292, 4: 126, 5: 54}",3,RESTOCK,BOAR,20,RECIEVED,,,
115,31095449-d33b-42ac-b2d3-440f22806a8e,2026-04-22 04:44:27.561621,"{0: 565, 1: 291, 2: 823, 3: 293, 4: 128, 5: 54}",3,RESTOCK,FISH,20,RECIEVED,,,
116,fc9d19c5-e885-42d4-a5ed-a38c050327d9,2026-04-22 04:44:27.563730,"{0: 569, 1: 292, 2: 826, 3: 294, 4: 130, 5: 54}",3,RESTOCK,FISH,20,RECIEVED,,,
117,c6e9699e-90e2-4d85-84fb-860365d9650f,2026-04-22 04:44:27.564787,"{0: 569, 1: 291, 2: 826, 3: 293, 4: 130, 5: 54}",0,BUY,FISH,2,RECIEVED,,,
118,55b4bb19-7c28-4fd4-bedc-3ed246da2c92,2026-04-22 04:44:27.567144,"{0: 561, 1: 289, 2: 818, 3: 291, 4: 124, 5: 54}",0,BUY,BOAR,5,RECIEVED,,,
119,1cab4f87-2370-42db-98c0-eb86f6900b89,2026-04-22 04:44:27.568170,"{0: 562, 1: 289, 2: 820, 3: 291, 4: 125, 5: 54}",0,BUY,FISH,6,RECIEVED,,,
120,44c26585-6e58-4fe8-8e06-8a7d3368de24,2026-04-22 04:44:27.570570,"{0: 563, 1: 289, 2: 820, 3: 291, 4: 126, 5: 54}",0,BUY,SALT,5,RECIEVED,,,
121,6ddfb6b8-6999-4a6e-9f09-27e950ecd1af,2026-04-22 04:44:27.571810,"{0: 564, 1: 290, 2: 822, 3: 292, 4: 127, 5: 54}",0,BUY,FISH,9,RECIEVED,,,
122,6d90a9f6-efdd-427d-98d9-d53f81018601,2026-04-22 04:44:27.574259,"{0: 565, 1: 290, 2: 822, 3: 292, 4: 128, 5: 54}",0,BUY,BOAR,5,RECIEVED,,,
123,66c3f0d3-0a90-446d-9e0b-cd05a98d0407,2026-04-22 04:44:27.575938,"{0: 566, 1: 291, 2: 824, 3: 293, 4: 128, 5: 54}",0,BUY,SALT,4,RECIEVED,,,
124,3f7aa659-8a81-4559-878c-dc41afb17b5d,2026-04-22 04:44:27.576938,"{0: 567, 1: 291, 2: 825, 3: 293, 4: 128, 5: 54}",0,BUY,SALT,2,RECIEVED,,,
125,897f0d06-6da4-4c90-baa2-b2207a204280,2026-04-22 04:44:27.579214,"{0: 568, 1: 291, 2: 826, 3: 293, 4: 129, 5: 54}",0,BUY,BOAR,8,RECIEVED,,,
126,a97977c8-8409-4678-b358-63c425cadec1,2026-04-22 04:44:27.580240,"{0: 570, 1: 293, 2: 829, 3: 295, 4: 132, 5: 54}",0,BUY,FISH,8,RECIEVED,,,
